Rel,Year,ID,Status,Group,Album,Comments
33,81,458,JAZZ,Django Reinhart,The Indispensible,2
74,81,461,CC,Clapton,461 Ocean Boulevard,
72,81,462,SOLD,Youngbloods,This Is The,2
33,81,464,SOLD,Donovan,Barabajagal,
33,81,465,SOLD,Donovan,Hurdy Gurdy Man,
33,81,466,SOLD,Donovan,Sunshine Superman,
33,81,467,LITZ,Robbie Krieger,Butts Band,
33,81,468,LP,Jimmy Cliff,The Harder They Come,
78,81,469,CC,Bob Weir,Heaven Help The Fool,
81,81,470,LP,Bob Weir,Bobby and the Midnights,
82,82,471,LP,Garcia,Run For the Roses,
73,82,472,SOLD,Springsteen,Asbury Park,
73,82,473,SOLD,Springsteen,E St Shuffle,
75,82,474,SOLD,Springsteen,Born to Run,
78,82,475,SOLD,Springsteen,Darkness on the Edge of Town,
79,82,476,SOLD,Pink Floyd,The Wall,2
33,82,478,SOLD,David La Flamme,White Bird,Bad Album
71,82,479,LP,Genesis,Nursery Cryme,
72,82,480,LP,Genesis,Foxtrot,
33,82,481,SOLD,Peter Green,Little Dreamer,
33,82,482,SOLD,Michael Jackson,Thriller,
33,82,483,FOLK,Ralph Stanley,Live at McClure VA,2
33,82,485,STEVE,Pentangle,Pentangle,
33,82,486,STEVE,Pentangle,Cruel Sister,
33,82,487,STEVE,Pentangle,History Book,
33,82,488,FOLK,John Starling,Long Time Gone,
33,82,489,FOLK,Various,Bluegrass Greatest Show,2
72,82,491,FOLK,Seldom Scene,Act 1,
73,82,492,FOLK,Seldom Scene,Act 2,
74,82,493,FOLK,Seldom Scene,Act 3,
79,82,494,FOLK,Seldom Scene,Act 4,
81,82,495,FOLK,Seldom Scene,After Midnight,
33,82,496,FOLK,Mike Auldridge,Eight String Swing,
33,82,497,JAZZ,David Grisman,Mandolin Abstractions,
33,82,498,FOLK,Bill Monroe,Greatest Hits,
33,82,499,FOLK,US Senator Robert Byrd,US Senator Robert Byrd,
33,82,500,LITZ,Elvis,Greatest Hits,
70,82,501,STEVE,Albert King,Blues for Elvis,
75,82,502,CD,Steely Dan,Katy Lied,
74,82,503,CD,Steely Dan,Pretzel Logic,
77,82,504,CD,Steely Dan,AJA,
83,83,505,SOLD,Clapton,Timepieces,
70,83,506,LP,Seatrain,Seatrain,
71,83,507,LP,Seatrain,Marblehead Messenger,
78,83,508,LITZ,Doors,American Prayer,
83,83,509,LITZ,Doors,Alive She Cried,
33,83,510,FOLK,Doc Watson,Lonesome Road,
83,83,511,FOLK,Seldom Scene,At the Scene,
33,83,512,FOLK,Leo Kottke,Mudlark,
33,83,513,FOLK,Leo Kottke,Kottke Lang Fahey,
33,83,514,FOLK,John Fahey,Live in Tasmania,
33,83,515,LP,Mark Knopfler,Cal,
33,83,516,LP,Mark Knopfler,Local Hero,
78,83,517,SOLD,Stones,Some Girls,
75,83,518,SOLD,Stones,Metamorphosis,75 BAD
33,83,519,SOLD,Talking Heads,Remain In Light,
87,87,520,SOLD,Dead,In the Dark,
73,87,521,LP,Garcia,Keystone Encores Vol 1,
73,87,522,LP,Garcia,Keystone Encores Vol 2,
70,87,523,SOLD,Hendrix,Band of Gypsys 2,
82,87,524,STEVE,Hendrix,The Jimi Hendrix Concerts,2
87,87,526,CD,Danny Gatton,Unfinished Business,
61,87,527,STEVE,Freddie King,Sings,
86,87,528,STEVE,Freddie King,Just Picking,2
33,87,530,GONE,Various,THE END,
